"Link Channel","ID Channel","Waktu","Link video","Komentar","Like"
"https://www.youtube.com/@nandrapku","@nandrapku","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgxHbMFyalX3jRkV8Wt4AaABAg","Lo napa bang? Kenapa akhir-akhir ini jadi sok-sok anti-mainstream? Lo lagi mens? Pakai pembalut, jgn bikin konten","510"
"https://www.youtube.com/@AliefFitroni","@AliefFitroni","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgxSYm56JYFdRpLcYnl4AaABAg","""even if your mind forgets, your heart will always remember.""
Dayuum","70"
"https://www.youtube.com/@nandozu","@nandozu","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgwFNxj14QQbKCobnM54AaABAg","Konsep time travelnya disini bukan scientific, tpi poetic.

Bner kata ngelantur, jangan disamain mcu, interstellar dsb. Interstellar aja ada andil scientist","1,3 rb"
"https://www.youtube.com/@anodaeru","@anodaeru","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgxDPGeV3fOi1-ZY85N4AaABAg","Menurut gw, untuk parap penonton awam, kita tetap harus meng-acknowledge bahwa film ini adalah bentuk peningkatan dari industri perfilman kita. Perihal di luar sana, di industri luar, banyak film yang lebih dari film kita, maka cukup jadikan itu sebagai pengetahuan, referensi, dan poin pengingat. Dengan begitu, kita ga menjadi terlalu menghakimi film-film genre baru kita secara membabi-buta atas landasan terlalu membandingkan dengan film luar. Seraya, kita tetap tidak boleh angkuh bahwa kita masih harus terus belajar dan memperluas wawasan dari dunia yang telah menapak puluhan langkah lebih dulu di hadapan kita.","842"
"https://www.youtube.com/@alexanderagung7109","@alexanderagung7109","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgwEvklGGYPFVyJBMCl4AaABAg","cuma film ini yg pengen gw tonton 3x berturut2 di bioskop dlm waktu kurang dari sebulan cuma pgn ngerasain saat2 gw nangis dan pgn balik ngerasain perasaan rindu dll di hati gw + pgn dgr musiknya, gw rela ngeluarin duit gw dan rela buat nntn film ini lagi dan lagi utk yg pertama kalinya lagi","12"
"https://www.youtube.com/@mpawpau8988","@mpawpau8988","4 minggu yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgwF2WFEZo4EhenSfnZ4AaABAg","BENER BANGET, NGEHH pertama kali lihat aku heran. Kokk aktingnya begini, pas di pertengahan film aku ngerti kenapa tatapan nya begituuuu. Huhuhu sukak banget. 🥹🥹🫶🫶","11"
"https://www.youtube.com/@mohammadbayu7077","@mohammadbayu7077","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=Ugy6E4Syo1yLt94xP-h4AaABAg","Hal yg patut disyukuri ketika menonton Film Sore: Idaman ialah tidak terpapar banyak informasi yg berhubungan dengan filmnya, menambah sensasi kenikmatan menonton sehingga rasa yg dihasilkan diluar dugaan.

Tipikal film yg semakin sedikit anda tahu, semakin besar kepuasan yang didapat. Contohnya kayak film JCSDFF, One Cut of The Dead, Maharaja, Caddo Lake.

Saya pribadi (dan mungkin sebagian penonton juga) merasakaan perasaan yg baru setelah filmnya selesai. Butuh waktu untuk merenung dan mencerna perasaan apa yg hadir ini sulit untuk diutarakan. 

Sedikit Tips: Kalau bisa tonton filmnya dulu biar tau gimana perasaan setelah nonton filmnya, baru balik lagi liat review filmnya.. coba dibandingkan. Jangan telat masuknya dan kalau bisa kencing dulu (jgn sampe beranjak dari kursi bioskop). Kalau mau nonton kedua kali atau selebihnya coba lebih perhatikan sorot matanya Sore & Jonathan.","363"
"https://www.youtube.com/@abcdefg12358","@abcdefg12358","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgyM6pqqduukdtX7wn94AaABAg","kaya yg dibilang christopher nolan “don’t try to understand it,just feel it”","187"
"https://www.youtube.com/@desmondkaskus","@desmondkaskus","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgydaGU-zk5YDnCSOQJ4AaABAg","ini baru reviewer film internasional. objektif dan dinilai dalam lingkup perfilman dunia. bukan lingkup film lokal aja","148"
"https://www.youtube.com/@_yandex_","@_yandex_","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=Ugz9kJfTgAQsCirSVJR4AaABAg","Bang bahas takopi's original sins","3"
"https://www.youtube.com/@shalala_1235","@shalala_1235","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgxeQhvmsD9yPf9qPP54AaABAg","suka bgt ngalantur review film gk overretted. berharap yg review drakor jg bisa kaya gini  review drakor se detail ini dan gk overretted",""
"https://www.youtube.com/@LuxuryWheels.Official","@LuxuryWheels.Official","1 bulan yang lalu","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgxLH5t0fNuN5HykqJR4AaABAg","Sore akan sangat sentimental ke satu kelompok:

""Orang2 yang ditinggal meninggal sama orang yang mereka cinta, dan mereka dikasih kesempatan buat bertemu dan merubah takdir meninggal itu""

dan buat yang belom ngerasain ini susah buat diterima kenapa sore sebegitunya buat berulang2 kembali ke masa lalu menjadikan sangat terasa dragging, dan sulit memahami sore.","116"
"https://www.youtube.com/@Rilli-vq4uy","@Rilli-vq4uy","1 bulan yang lalu (diedit)","https://www.youtube.com/watch?v=zZcIMAqOsL4&lc=UgzyCSUE8-R-UEYlLc94AaABAg","Setidaknya kita ambil sisi positifnya akhirnya ada film Indonesia yang bagus dan dapat diterima oleh kebanyakan orang Indonesia dan juga viral, bisa dilihat jumlah penonton nya udah 1,7 jt penonton, yang membuktikan mulai banyak warga indo yang mulai melirik film yang genrenya ga gitu gitu lagi

Dan semoga saja bisa nembus 2jt penonton dan ngalahin jalan pulang sumpah cuma ngandelin 3 ratu horror udah dapat 2 JT penonton","312"
